DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd0209-71,Uppsala University,DORIS,1993
snd0209-6,Uppsala University,DORIS,1993
snd0214-1,Umeå University,DORIS,1987
snd0211-2,Stockholm University,DORIS,1987
snd0211-1,Stockholm University,DORIS,1987
snd0210-2,Stockholm University,DORIS,1987
snd0209-28,Uppsala University,DORIS,1993
snd0209-30,Uppsala University,DORIS,1993
snd0209-26,Uppsala University,DORIS,1993
snd0209-25,Uppsala University,DORIS,1993
snd0209-29,Uppsala University,DORIS,1993
snd0209-27,Uppsala University,DORIS,1993
snd0209-21,Uppsala University,DORIS,1993
snd0700-1,Linnaeus University,DORIS,1992
snd0700-2,Linnaeus University,DORIS,1992
snd0700-3,Linnaeus University,DORIS,1992
snd0817-1,Uppsala University,DORIS,2009
snd0818-1,Uppsala University,DORIS,2009
snd0091-1,Uppsala University,DORIS,2014
snd0091-1,Uppsala University,DORIS,1984
snd0495-26,Swedish Working Life Fund ,DORIS,1996
snd0495-22,Swedish Working Life Fund ,DORIS,1996
snd0495-21,Swedish Working Life Fund ,DORIS,1996
snd0495-24,Swedish Working Life Fund ,DORIS,1996
snd0495-23,Swedish Working Life Fund ,DORIS,1996
snd0495-20,Swedish Working Life Fund ,DORIS,1996
snd0495-19,Swedish Working Life Fund ,DORIS,1996
snd0495-25,Swedish Working Life Fund ,DORIS,1996
snd0515-1,University of Gothenburg,DORIS,2007
snd0342-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0339-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0344-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0341-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0340-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0343-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0209-67,Uppsala University,DORIS,1993
snd0266-1,Uppsala University,DORIS,1990
snd0105-1,Uppsala University,DORIS,1984
snd0111-1,University of Gothenburg,DORIS,1982
snd0112-1,University of Gothenburg,DORIS,1982
snd0266-2,Uppsala University,DORIS,1991
snd0209-65,Uppsala University,DORIS,1993
snd0209-66,Uppsala University,DORIS,1993
snd0209-68,Uppsala University,DORIS,1993
snd0209-69,Uppsala University,DORIS,1993
snd0209-63,Uppsala University,DORIS,1993
snd0209-52,Uppsala University,DORIS,1993
snd0209-55,Uppsala University,DORIS,1993
snd0209-51,Uppsala University,DORIS,1993
snd0209-56,Uppsala University,DORIS,1993
snd0209-57,Uppsala University,DORIS,1993
snd0209-58,Uppsala University,DORIS,1993
snd0209-20,Uppsala University,DORIS,1993
snd0209-35,Uppsala University,DORIS,1993
snd0037-1,University of Gothenburg,DORIS,1983
snd0209-33,Uppsala University,DORIS,1992
snd0209-31,Uppsala University,DORIS,1993
snd0700-14,Linnaeus University,DORIS,1999
snd0700-15,Linnaeus University,DORIS,1999
snd0209-36,Uppsala University,DORIS,1993
snd0700-17,Linnaeus University,DORIS,1999
snd0209-2,Uppsala University,DORIS,1993
snd0945-1,Lund University,DORIS,2025
snd0700-18,Linnaeus University,DORIS,1999
snd0130-1,University of Gothenburg,DORIS,1986
snd0700-23,Linnaeus University,DORIS,1999
snd0209-19,Uppsala University,DORIS,1993
snd0700-24,Linnaeus University,DORIS,1999
snd0221-1,Lund University,DORIS,1988
snd0700-25,Linnaeus University,DORIS,1999
2020-42-1,Linköping University,DORIS,2020
snd1151-1,Swedish University of Agricultural Sciences,DORIS,2020
snd0700-26,Linnaeus University,DORIS,1999
snd0700-27,Linnaeus University,DORIS,1999
snd1149-1,University of Borås,DORIS,2020
snd1146-1,Karolinska Institutet,DORIS,2020
snd0700-28,Linnaeus University,DORIS,1999
snd1130-1,University of Gothenburg,DORIS,2019
snd0700-29,Linnaeus University,DORIS,1999
snd1125-1,Swedish University of Agricultural Sciences,DORIS,2020
snd0700-30,Linnaeus University,DORIS,1999
snd1096-1,Halmstad University,DORIS,2019
snd1113-1,Region Västra Götaland,DORIS,2019
snd0700-31,Linnaeus University,DORIS,1999
snd1107-1,Swedish University of Agricultural Sciences,DORIS,2019
snd1106-1,Swedish University of Agricultural Sciences,DORIS,2019
snd0879-1,University of Gothenburg,DORIS,2009
snd0760-7,Södertörns högskola,DORIS,2011
snd0760-6,Södertörns högskola,DORIS,2011
snd0760-4,Södertörns högskola,DORIS,2011
snd0577-7,Lund University,DORIS,2013
snd0577-7,Lund University,DORIS,2012
snd0108-1,University of Gothenburg,DORIS,1983
snd0915-1,Uppsala University,DORIS,2015
snd0915-1,Uppsala University,DORIS,2015
snd0923-1,Lund University,DORIS,2014
snd0927-1,University of Gothenburg,DORIS,2014
snd0277-4,University of Gothenburg,DORIS,1991
snd0277-3,University of Gothenburg,DORIS,1991
snd0277-12,University of Gothenburg,DORIS,1996
snd0277-11,University of Gothenburg,DORIS,1996
snd0277-10,University of Gothenburg,DORIS,1996
snd0277-2,University of Gothenburg,DORIS,1991
snd0569-1,Lund University,DORIS,2013
snd0114-2,University of Gothenburg,DORIS,1982
snd0095-1,Uppsala University,DORIS,1984
snd0566-1,Lund University,DORIS,2014
snd0091-4,Uppsala University,DORIS,1984
snd0091-4,Uppsala University,DORIS,2014
snd0091-3,Uppsala University,DORIS,2014
snd0122-1,Uppsala University,DORIS,2014
snd0091-2,Uppsala University,DORIS,1984
snd0577-1,Lund University,DORIS,2013
snd0122-1,Uppsala University,DORIS,2013
snd0107-2,Uppsala University,DORIS,1984
snd0091-3,Uppsala University,DORIS,1984
snd0091-5,Uppsala University,DORIS,2014
snd0091-5,Uppsala University,DORIS,1984
snd0277-1,University of Gothenburg,DORIS,1991
snd0277-9,University of Gothenburg,DORIS,1996
snd0137-1,University of Gothenburg,DORIS,1992
snd0700-34,Linnaeus University,DORIS,1999
snd0470-1,Lund University,DORIS,2020
snd0131-9,University of Gothenburg,DORIS,1982
snd0141-1,Karolinska Institutet,DORIS,2013
snd0577-6,Lund University,DORIS,2013
snd0131-3,University of Gothenburg,DORIS,1982
snd0131-2,University of Gothenburg,DORIS,1982
snd0577-5,Lund University,DORIS,1999
snd0131-1,University of Gothenburg,DORIS,1982
snd0131-4,University of Gothenburg,DORIS,1982
snd0280-1,Statistics Sweden,DORIS,1992
snd0207-1,Svenska Gallupinstitutet AB,DORIS,1986
snd0700-33,Linnaeus University,DORIS,1999
snd1057-1,University of Gothenburg,DORIS,2018
snd1047-1,University of Gothenburg,DORIS,2018
snd0700-22,Linnaeus University,DORIS,1999
snd0700-21,Linnaeus University,DORIS,1999
snd0700-32,Linnaeus University,DORIS,1999
snd1089-1,University of Gothenburg,DORIS,2019
snd0497-3,City of Gothenburg,DORIS,1996
snd0700-16,Linnaeus University,DORIS,1999
snd0209-53,Uppsala University,DORIS,1992
snd1052-1,Lund University,DORIS,2018
snd0700-36,Linnaeus University,DORIS,1999
snd0700-35,Linnaeus University,DORIS,1999
snd1014-1,University of Gothenburg,DORIS,2018
snd0002-1,University of Gothenburg,DORIS,1992
snd0041-4,University of Gothenburg,DORIS,1984
snd0940-1,University of Gothenburg,DORIS,2014
snd0945-1,Lund University,DORIS,2014
snd0277-30,University of Gothenburg,DORIS,1996
snd0277-32,University of Gothenburg,DORIS,1996
snd0277-31,University of Gothenburg,DORIS,1996
snd0221-3,Lund University,DORIS,1988
snd0038-1,Nordic Institute for Studies in Urban and Regional Planning,DORIS,1983
snd0209-23,Uppsala University,DORIS,1993
snd0209-24,Uppsala University,DORIS,1993
snd0125-2,Uppsala University,DORIS,1984
snd0258-9,Umeå University,DORIS,1991
snd0149-1,Stockholm University,DORIS,1992
snd0258-6,Umeå University,DORIS,1991
snd0258-5,Umeå University,DORIS,1991
snd0116-1,University of Gothenburg,DORIS,2012
snd0700-4,Linnaeus University,DORIS,1992
snd0258-3,Umeå University,DORIS,1991
snd0258-2,Umeå University,DORIS,1991
snd0258-8,Umeå University,DORIS,1991
snd0258-7,Umeå University,DORIS,1991
snd0114-1,University of Gothenburg,DORIS,1982
snd0258-4,Umeå University,DORIS,1991
snd0041-3,University of Gothenburg,DORIS,1984
snd0577-3,Lund University,DORIS,2013
snd0577-3,Lund University,DORIS,1999
snd0577-5,Lund University,DORIS,2013
snd0700-6,Linnaeus University,DORIS,1992
snd0577-4,Lund University,DORIS,2013
snd0700-5,Linnaeus University,DORIS,1992
snd0091-2,Uppsala University,DORIS,2014
snd0469-1,Lund University,DORIS,2025
snd0577-1,Lund University,DORIS,1999
snd0577-2,Lund University,DORIS,2013
snd0577-4,Lund University,DORIS,1999
snd0258-1,Umeå University,DORIS,1991
snd0141-1,Karolinska Institutet,DORIS,1986
snd0700-7,Linnaeus University,DORIS,1992
snd0135-3,University of Gothenburg,DORIS,1982
snd0160-1,Forskningsgruppen för samhälls- och informationsstudier,DORIS,2013
snd0147-1,University of Gothenburg,DORIS,1982
snd0132-1,University of Gothenburg,DORIS,1982
snd0132-3,University of Gothenburg,DORIS,1982
snd0158-1,Stockholm University,DORIS,2010
snd0158-1,Stockholm University,DORIS,2013
snd0135-2,University of Gothenburg,DORIS,1982
snd0132-2,University of Gothenburg,DORIS,1982
snd0142-1,Swedish telecom,DORIS,1984
2021-191-1,University of Gothenburg,DORIS,2021
2021-291-1,Chalmers University of Technology,DORIS,2022
2021-198-1,University of Skövde,DORIS,2021
2021-202-1,Lund University,DORIS,2021
2021-206-1,Mid Sweden University,DORIS,2021
2021-207-1,Mid Sweden University,DORIS,2021
2021-211-1,RISE Research Institutes of Sweden,DORIS,2021
2021-215-1,Swedish University of Agricultural Sciences,DORIS,2021
2021-219-1,Chalmers University of Technology,DORIS,2021
2021-124-1,Royal Institute of Technology,DORIS,2021
2021-204-1,Karolinska Institutet,DORIS,2022
2021-239-1,RISE Research Institutes of Sweden,DORIS,2021
2021-240-1,University of Skövde,DORIS,2021
2021-243-1,Chalmers University of Technology,DORIS,2021
2021-244-1,Tokyo Metropolitan University,DORIS,2021
2021-174-1,Linnaeus University,DORIS,2022
2021-253-1,University of Gothenburg,DORIS,2021
ecds0248-1,Swedish University of Agricultural Sciences,DORIS,2019
ecds0249-1,Swedish University of Agricultural Sciences,DORIS,2019
2020-96-1,Umeå University,DORIS,2020
2020-94-1,Swedish Institute of Space Physics,DORIS,2020
snd1092-1,Swedish University of Agricultural Sciences,DORIS,2019
2020-90-1,Karolinska Institutet,DORIS,2021
2020-81-1,Umeå University,DORIS,2020
2020-74-1,Umeå University,DORIS,2020
ecds0250-1,Uppsala University,DORIS,2019
2020-51-1,Karolinska Institutet,DORIS,2021
ecds0182-1,Stockholm University,DORIS,2019
2020-50-1,Swedish University of Agricultural Sciences,DORIS,2020
2020-49-1,University of Gothenburg,DORIS,2020
2020-17-1,Uppsala University,DORIS,2020
snd1098-1,Lund University,DORIS,2019
snd1099-1,Uppsala University,DORIS,2019
2020-43-1,Karolinska Institutet,DORIS,2020
snd1296-1,Swedish University of Agricultural Sciences,DORIS,2020
snd1099-2,Uppsala University,DORIS,2019
2020-36-10,University of Gothenburg,DORIS,2020
snd2022-1,Uppsala University,DORIS,2014
snd2222-1,Uppsala University,DORIS,2012
snd2222-1,Uppsala University,DORIS,2014
snd0911-1,Stockholm University,DORIS,2013
snd2020-1,Uppsala University,DORIS,2012
snd2020-1,Uppsala University,DORIS,2014
snd2000-1,Uppsala University,DORIS,2014
snd2226-1,Uppsala University,DORIS,2012
snd2226-1,Uppsala University,DORIS,2014
snd2227-1,Uppsala University,DORIS,2012
snd2227-1,Uppsala University,DORIS,2014
snd2228-1,Uppsala University,DORIS,2012
snd2228-1,Uppsala University,DORIS,2014
snd2229-1,Uppsala University,DORIS,2012
snd2229-1,Uppsala University,DORIS,2014
snd2230-1,Uppsala University,DORIS,2012
snd2230-1,Uppsala University,DORIS,2014
snd2231-1,Uppsala University,DORIS,2012
snd2231-1,Uppsala University,DORIS,2014
snd2232-1,Uppsala University,DORIS,2012
snd2232-1,Uppsala University,DORIS,2014
snd2233-1,Uppsala University,DORIS,2012
snd2234-1,Uppsala University,DORIS,2012
snd2234-1,Uppsala University,DORIS,2014
snd2235-1,Uppsala University,DORIS,2012
snd2235-1,Uppsala University,DORIS,2014
snd2236-1,Uppsala University,DORIS,2012
snd2236-1,Uppsala University,DORIS,2014
snd2237-1,Uppsala University,DORIS,2012
snd2237-1,Uppsala University,DORIS,2014
snd2238-1,Uppsala University,DORIS,2012
snd2238-1,Uppsala University,DORIS,2014
snd2239-1,Uppsala University,DORIS,2012
snd2239-1,Uppsala University,DORIS,2014
snd2240-1,Uppsala University,DORIS,2012
snd2240-1,Uppsala University,DORIS,2014
snd2241-1,Uppsala University,DORIS,2012
snd2241-1,Uppsala University,DORIS,2013
snd2242-1,Uppsala University,DORIS,2012
snd2242-1,Uppsala University,DORIS,2014
snd2243-1,Uppsala University,DORIS,2012
snd2243-1,Uppsala University,DORIS,2014
snd2244-1,Uppsala University,DORIS,2012
snd2244-1,Uppsala University,DORIS,2014
snd2245-1,Uppsala University,DORIS,2012
snd2245-1,Uppsala University,DORIS,2014
snd2246-1,Uppsala University,DORIS,2012
snd2246-1,Uppsala University,DORIS,2014
snd2247-1,Uppsala University,DORIS,2012
snd2247-1,Uppsala University,DORIS,2014
snd2248-1,Uppsala University,DORIS,2014
snd2249-1,Uppsala University,DORIS,2012
snd2249-1,Uppsala University,DORIS,2014
snd2250-1,Uppsala University,DORIS,2012
snd2250-1,Uppsala University,DORIS,2014
snd2251-1,Uppsala University,DORIS,2012
snd2251-1,Uppsala University,DORIS,2014
snd2253-1,Uppsala University,DORIS,2014
snd2254-1,Uppsala University,DORIS,2012
snd1227-1,Umeå University,DORIS,2024
snd2220-1,Uppsala University,DORIS,2012
snd2140-1,Uppsala University,DORIS,2012
snd2140-1,Uppsala University,DORIS,2014
snd2142-1,Uppsala University,DORIS,2012
snd2142-1,Uppsala University,DORIS,2014
snd2143-1,Uppsala University,DORIS,2012
snd2143-1,Uppsala University,DORIS,2014
snd2144-1,Uppsala University,DORIS,2012
snd2144-1,Uppsala University,DORIS,2014
snd2145-1,Uppsala University,DORIS,2012
snd2145-1,Uppsala University,DORIS,2014
snd2146-1,Uppsala University,DORIS,2012
snd2146-1,Uppsala University,DORIS,2014
snd2147-1,Uppsala University,DORIS,2012
snd2147-1,Uppsala University,DORIS,2014
snd2148-1,Uppsala University,DORIS,2012
snd2148-1,Uppsala University,DORIS,2014
snd2149-1,Uppsala University,DORIS,2012
snd2149-1,Uppsala University,DORIS,2014
snd2150-1,Uppsala University,DORIS,2012
snd2150-1,Uppsala University,DORIS,2014
snd2151-1,Uppsala University,DORIS,2012
snd2151-1,Uppsala University,DORIS,2014
snd2152-1,Uppsala University,DORIS,2012
snd2152-1,Uppsala University,DORIS,2014
snd2153-1,Uppsala University,DORIS,2012
snd2153-1,Uppsala University,DORIS,2014
snd2154-1,Uppsala University,DORIS,2012
snd1099-3,Uppsala University,DORIS,2019
2020-36-9,University of Gothenburg,DORIS,2020
snd2154-1,Uppsala University,DORIS,2014
snd2155-1,Uppsala University,DORIS,2012
snd2156-1,Uppsala University,DORIS,2012
snd2156-1,Uppsala University,DORIS,2014
snd2157-1,Uppsala University,DORIS,2012
2024-619,Luleå University of Technology,DORIS,2025
2024-619,Luleå University of Technology,DORIS,2025
2024-619,Luleå University of Technology,DORIS,2025
2023-205,Chalmers University of Technology,DORIS,2023
2025-152,Karolinska Institutet,DORIS,2025
2024-425,Swedish University of Agricultural Sciences,DORIS,2024
2024-524,Swedish University of Agricultural Sciences,DORIS,2024
2022-89-1,Jönköping University,DORIS,2022
2023-246,Luleå University of Technology,DORIS,2023
snd0965-1,Lund University,DORIS,2015
2023-257,Luleå University of Technology,DORIS,2023
ext0279-1,Kristianstad University,DORIS (only metadata),2019
ext0368-1,Uppsala University,DORIS (only metadata),2020
snd1072-1,University of Gothenburg,DORIS,2018
2021-307-1,Swedish University of Agricultural Sciences,DORIS,2021
2021-318-1,Lund University,DORIS,2022
snd0965-2,Lund University,DORIS,2015
snd0975-1,University of Gothenburg,DORIS,2015
snd1099-4,Uppsala University,DORIS,2019
2020-36-8,University of Gothenburg,DORIS,2020
2020-36-7,University of Gothenburg,DORIS,2020
snd1100-1,University of Gothenburg,DORIS,2019
2020-36-6,University of Gothenburg,DORIS,2020
2020-36-5,University of Gothenburg,DORIS,2020
2020-36-4,University of Gothenburg,DORIS,2020
2020-36-3,University of Gothenburg,DORIS,2020
ext0283-1,Linköping University,DORIS (only metadata),2019
2020-36-2,University of Gothenburg,DORIS,2020
2020-36-1,University of Gothenburg,DORIS,2020
ext0284-1,Linköping University,DORIS (only metadata),2020
2020-28-1,University of Gothenburg,DORIS,2020
2020-13-1,Huddinge municipality,DORIS,2020
snd1103-1,Royal Institute of Technology,DORIS,2020
snd1295-1,Swedish University of Agricultural Sciences,DORIS,2020
snd1103-2,Royal Institute of Technology,DORIS,2020
ext0408-1,Stockholm University,DORIS (only metadata),2021
snd1256-1,University of Gothenburg,DORIS,2021
2024-203,Uppsala University,DORIS,2017
2020-190-1,Uppsala University,DORIS,2021
2024-396,Uppsala University,DORIS,2023
snd1079-1,Uppsala University,DORIS,2025
2022-62-1,Luleå University of Technology,DORIS,2024
2022-63-1,Stockholm University,DORIS,2022
2022-75-1,University of Gothenburg,DORIS,2022
2022-61-1,Luleå University of Technology,DORIS,2024
2022-57-1,Lund University,DORIS,2022
2022-50-1,Swedish University of Agricultural Sciences,DORIS,2022
2025-107,Swedish University of Agricultural Sciences,DORIS,2025
2025-172,Chalmers University of Technology,DORIS,2025
snd0209-1,Uppsala University,DORIS,1987
snd0150-1,Uppsala University,DORIS,1986
snd0155-1,Uppsala University,DORIS,1992
snd0206-1,Statistics Sweden,DORIS,1988
snd0094-2,Uppsala University,DORIS,1984
snd0209-42,Uppsala University,DORIS,1992
snd0209-43,Uppsala University,DORIS,1992
snd0209-41,Uppsala University,DORIS,1992
snd0094-1,Uppsala University,DORIS,1984
snd0209-44,Uppsala University,DORIS,1993
snd0209-40,Uppsala University,DORIS,1993
snd0209-37,Uppsala University,DORIS,1993
snd0030-1,Radio Sweden,DORIS,1984
snd0021-1,University of Gothenburg,DORIS,1982
snd0832-1,Arbetslivsinstitutet,DORIS,2006
snd0822-1,University of Gothenburg,DORIS,2007
snd0819-1,Uppsala University,DORIS,2005
snd0785-1,Institute for Future Studies,DORIS,2005
snd0760-1,Södertörns högskola,DORIS,2002
snd0852-1,University of Gothenburg,DORIS,2007
snd0106-1,University of Gothenburg,DORIS,1982
snd0107-1,Uppsala University,DORIS,1984
snd0140-1,Uppsala University,DORIS,1991
snd0037-1,University of Gothenburg,DORIS,2013
snd0041-1,University of Gothenburg,DORIS,1984
snd0209-64,Uppsala University,DORIS,1993
snd0846-1,Arbetslivsinstitutet,DORIS,2007
snd0818-1,Uppsala University,DORIS,2005
snd0817-1,Uppsala University,DORIS,2005
snd0495-10,Swedish Working Life Fund ,DORIS,1996
snd0495-9,Swedish Working Life Fund ,DORIS,1996
snd0495-5,Swedish Working Life Fund ,DORIS,1996
snd0495-4,Swedish Working Life Fund ,DORIS,1996
snd0495-14,Swedish Working Life Fund ,DORIS,1996
snd0495-13,Swedish Working Life Fund ,DORIS,1996
snd0495-12,Swedish Working Life Fund ,DORIS,1996
snd0495-11,Swedish Working Life Fund ,DORIS,1996
snd0495-17,Swedish Working Life Fund ,DORIS,1996
snd0495-16,Swedish Working Life Fund ,DORIS,1996
snd0495-8,Swedish Working Life Fund ,DORIS,1996
snd0495-7,Swedish Working Life Fund ,DORIS,1996
snd0495-15,Swedish Working Life Fund ,DORIS,1996
snd0495-6,Swedish Working Life Fund ,DORIS,1996
snd0495-18,Swedish Working Life Fund ,DORIS,1996
snd0416-1,Gallup Europe,DORIS,1993
snd0393-1,Jung-Ang Daily News,DORIS,1992
snd0394-1,Institute for Korean Election Studies,DORIS,1992
snd0352-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0392-1,Korea Research Gallup Polls Ltd.,DORIS,1992
snd0347-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0350-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0345-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0346-1,Swedish Institute of Public Opinion Research,DORIS,1993
snd0277-39,University of Gothenburg,DORIS,1999
snd0277-38,University of Gothenburg,DORIS,1999
snd0277-37,University of Gothenburg,DORIS,1999
snd0277-41,University of Gothenburg,DORIS,1999
snd0277-40,University of Gothenburg,DORIS,1999
snd0209-17,Uppsala University,DORIS,1993
snd2071-1,Uppsala University,DORIS,2014
snd2072-1,Uppsala University,DORIS,2012
snd2072-1,Uppsala University,DORIS,2014
snd2073-1,Uppsala University,DORIS,2012
snd2073-1,Uppsala University,DORIS,2014
snd2074-1,Uppsala University,DORIS,2012
snd2075-1,Uppsala University,DORIS,2012
snd2076-1,Uppsala University,DORIS,2012
snd2076-1,Uppsala University,DORIS,2014
snd2077-1,Uppsala University,DORIS,2012
snd2077-1,Uppsala University,DORIS,2014
snd2078-1,Uppsala University,DORIS,2012
snd2078-1,Uppsala University,DORIS,2014
snd2079-1,Uppsala University,DORIS,2012
snd2079-1,Uppsala University,DORIS,2014
snd2080-1,Uppsala University,DORIS,2012
snd2080-1,Uppsala University,DORIS,2014
snd2081-1,Uppsala University,DORIS,2012
snd2081-1,Uppsala University,DORIS,2014
snd2082-1,Uppsala University,DORIS,2012
snd2082-1,Uppsala University,DORIS,2014
snd2083-1,Uppsala University,DORIS,2012
snd2083-1,Uppsala University,DORIS,2014
snd2084-1,Uppsala University,DORIS,2012
snd2084-1,Uppsala University,DORIS,2014
snd2085-1,Uppsala University,DORIS,2012
snd2085-1,Uppsala University,DORIS,2014
snd2086-1,Uppsala University,DORIS,2012
snd2086-1,Uppsala University,DORIS,2014
snd2087-1,Uppsala University,DORIS,2012
snd2088-1,Uppsala University,DORIS,2012
snd2088-1,Uppsala University,DORIS,2014
snd2089-1,Uppsala University,DORIS,2012
snd2089-1,Uppsala University,DORIS,2014
snd2092-1,Uppsala University,DORIS,2012
snd2092-1,Uppsala University,DORIS,2014
snd2093-1,Uppsala University,DORIS,2012
snd2094-1,Uppsala University,DORIS,2012
snd2094-1,Uppsala University,DORIS,2014
snd2095-1,Uppsala University,DORIS,2012
snd2095-1,Uppsala University,DORIS,2014
snd2096-1,Uppsala University,DORIS,2012
snd2096-1,Uppsala University,DORIS,2014
snd2097-1,Uppsala University,DORIS,2012
snd2097-1,Uppsala University,DORIS,2014
snd2098-1,Uppsala University,DORIS,2012
snd2098-1,Uppsala University,DORIS,2014
snd2099-1,Uppsala University,DORIS,2012
snd2099-1,Uppsala University,DORIS,2014
snd2100-1,Uppsala University,DORIS,2012
snd2100-1,Uppsala University,DORIS,2014
snd2101-1,Uppsala University,DORIS,2012
snd2101-1,Uppsala University,DORIS,2014
snd2102-1,Uppsala University,DORIS,2012
snd2102-1,Uppsala University,DORIS,2014
snd2103-1,Uppsala University,DORIS,2012
snd2103-1,Uppsala University,DORIS,2014
snd2104-1,Uppsala University,DORIS,2012
snd2104-1,Uppsala University,DORIS,2014
snd2105-1,Uppsala University,DORIS,2012
snd2105-1,Uppsala University,DORIS,2014
snd2106-1,Uppsala University,DORIS,2012
snd2107-1,Uppsala University,DORIS,2012
snd2107-1,Uppsala University,DORIS,2014
snd2108-1,Uppsala University,DORIS,2012
snd2108-1,Uppsala University,DORIS,2014
snd2109-1,Uppsala University,DORIS,2012
snd2110-1,Uppsala University,DORIS,2012
snd2110-1,Uppsala University,DORIS,2014
snd2111-1,Uppsala University,DORIS,2012
snd2111-1,Uppsala University,DORIS,2014
snd2112-1,Uppsala University,DORIS,2012
snd2112-1,Uppsala University,DORIS,2014
snd2113-1,Uppsala University,DORIS,2012
snd2403-1,Uppsala University,DORIS,2014
snd2405-1,Uppsala University,DORIS,2018
snd2406-1,Uppsala University,DORIS,2014
snd2407-1,Uppsala University,DORIS,2014
snd2409-1,Uppsala University,DORIS,2020
snd2412-1,Uppsala University,DORIS,2018
snd2414-1,Uppsala University,DORIS,2014
ext0210-1,University of Gothenburg,DORIS (only metadata),2016
snd0998-1,Umeå University,DORIS,2016
snd1000-1,Lund University,DORIS,2016
snd2425-1,Uppsala University,DORIS,2014
snd2479-1,Uppsala University,DORIS,2020
snd2478-1,Uppsala University,DORIS,2020
snd2477-1,Uppsala University,DORIS,2020
snd2476-1,Uppsala University,DORIS,2020
snd2430-1,Uppsala University,DORIS,2014
snd2471-1,Uppsala University,DORIS,2017
snd2468-1,Uppsala University,DORIS,2017
snd2432-1,Uppsala University,DORIS,2014
snd2459-1,Uppsala University,DORIS,2016
snd2458-1,Uppsala University,DORIS,2016
snd2435-1,Uppsala University,DORIS,2014
snd2457-1,Uppsala University,DORIS,2016
snd0993-1,Lund University,DORIS,2016
snd2437-1,Uppsala University,DORIS,2014
snd0987-1,University of Gothenburg,DORIS,2015
ext0134-1,University of Gothenburg,DORIS (only metadata),2014
snd0984-1,University of Gothenburg,DORIS,2015
snd0949-1,Lund University,DORIS,2015
ext0135-1,University of Gothenburg,DORIS (only metadata),2014
snd0983-1,University of Gothenburg,DORIS,2015
snd2441-1,Uppsala University,DORIS,2014
ext0140-1,University of Gothenburg,DORIS (only metadata),2014
snd2445-1,Uppsala University,DORIS,2014
snd2446-1,Uppsala University,DORIS,2014
snd0974-1,Linköping University,DORIS,2014
snd2404-1,Uppsala University,DORIS,2014
snd2452-1,Uppsala University,DORIS,2015
ext0141-1,University of Gothenburg,DORIS (only metadata),2014
ext0157-1,Kristianstad University,DORIS (only metadata),2015
snd2356-1,Uppsala University,DORIS,2012
snd2210-1,Uppsala University,DORIS,2014
snd2355-1,Uppsala University,DORIS,2012
snd2354-1,Uppsala University,DORIS,2012
snd2209-1,Uppsala University,DORIS,2012
snd2209-1,Uppsala University,DORIS,2014
snd2353-1,Uppsala University,DORIS,2012
snd2352-1,Uppsala University,DORIS,2012
snd2274-1,Uppsala University,DORIS,2012
snd2351-1,Uppsala University,DORIS,2012
snd2350-1,Uppsala University,DORIS,2012
snd2274-1,Uppsala University,DORIS,2014
snd2349-1,Uppsala University,DORIS,2012
snd2275-1,Uppsala University,DORIS,2012
snd2348-1,Uppsala University,DORIS,2012
snd2347-1,Uppsala University,DORIS,2012
snd2275-1,Uppsala University,DORIS,2014
snd2346-1,Uppsala University,DORIS,2012
snd2345-1,Uppsala University,DORIS,2012
snd2276-1,Uppsala University,DORIS,2012
snd2343-1,Uppsala University,DORIS,2013
snd2276-1,Uppsala University,DORIS,2014
snd2342-1,Uppsala University,DORIS,2012
snd2277-1,Uppsala University,DORIS,2012
snd2341-1,Uppsala University,DORIS,2012
snd0829-1,Lund University,DORIS,2014
snd0794-1,Stockholm University,DORIS,2014
2024-536,"KN 2023:01, Utredningen om havsbaserad vindkraft",DORIS,2024
snd0154-1,University of Gothenburg,DORIS,1992
snd0110-1,University of Gothenburg,DORIS,1983
snd0500-43,University of Gothenburg,DORIS,2001
snd0831-1,Arbetslivsinstitutet,DORIS,2006
snd0500-61,University of Gothenburg,DORIS,2002
snd0782-1,University of Gothenburg,DORIS,2002
snd0777-1,University of Gothenburg,DORIS,2002
snd0143-1,Uppsala University,DORIS,1985
snd0139-1,Uppsala University,DORIS,1983
snd0169-1,Uppsala University,DORIS,1986
snd0838-1,Arbetslivsinstitutet,DORIS,2006
snd0840-1,Arbetslivsinstitutet,DORIS,2015
snd0839-1,Arbetslivsinstitutet,DORIS,2007
snd0306-1,University of Gothenburg,DORIS,1997
snd0435-1,University of Gothenburg,DORIS,1995
snd0229-1,Stockholm University,DORIS,1988
snd0233-1,Stockholm University,DORIS,1989
snd0513-1,University of Gothenburg,DORIS,2015
snd0480-1,University of Gothenburg,DORIS (only metadata),1995
snd0219-1,Religionssociologiska institutet,DORIS,2013
